"ZIP","COUNTYNAME","STATE","county_name_norm","dem_votes","rep_votes","dem_pct","rep_pct","dem_lead"
"63348","Warren County","MO","warrencounty, MO",3915,11111,0.260548382803141,0.739451617196859,-0.478903234393718
"63349","Lincoln County","MO","lincolncounty, MO",5575,18159,0.234895087216651,0.765104912783349,-0.530209825566698
"63349","Warren County","MO","warrencounty, MO",3915,11111,0.260548382803141,0.739451617196859,-0.478903234393718
"63350","Montgomery County","MO","montgomerycounty, MO",1119,4127,0.213305375524209,0.786694624475791,-0.573389248951582
"63351","Montgomery County","MO","montgomerycounty, MO",1119,4127,0.213305375524209,0.786694624475791,-0.573389248951582
"63351","Warren County","MO","warrencounty, MO",3915,11111,0.260548382803141,0.739451617196859,-0.478903234393718
"63352","Audrain County","MO","audraincounty, MO",2570,6981,0.269081771542247,0.730918228457753,-0.461836456915506
"63352","Ralls County","MO","rallscounty, MO",1138,3969,0.222831407871549,0.777168592128451,-0.554337184256902
"63353","Pike County","MO","pikecounty, MO",1806,5274,0.255084745762712,0.744915254237288,-0.489830508474576
"63357","St. Charles County","MO","stcharlescounty, MO",68626,121650,0.360665559503038,0.639334440496962,-0.278668880993925
"63357","Warren County","MO","warrencounty, MO",3915,11111,0.260548382803141,0.739451617196859,-0.478903234393718
"63359","Audrain County","MO","audraincounty, MO",2570,6981,0.269081771542247,0.730918228457753,-0.461836456915506
"63359","Lincoln County","MO","lincolncounty, MO",5575,18159,0.234895087216651,0.765104912783349,-0.530209825566698
"63359","Montgomery County","MO","montgomerycounty, MO",1119,4127,0.213305375524209,0.786694624475791,-0.573389248951582
"63359","Pike County","MO","pikecounty, MO",1806,5274,0.255084745762712,0.744915254237288,-0.489830508474576
"63361","Callaway County","MO","callawaycounty, MO",4989,13057,0.276460157375596,0.723539842624404,-0.447079685248809
"63361","Montgomery County","MO","montgomerycounty, MO",1119,4127,0.213305375524209,0.786694624475791,-0.573389248951582
"63362","Lincoln County","MO","lincolncounty, MO",5575,18159,0.234895087216651,0.765104912783349,-0.530209825566698
"63363","Montgomery County","MO","montgomerycounty, MO",1119,4127,0.213305375524209,0.786694624475791,-0.573389248951582
"63363","Warren County","MO","warrencounty, MO",3915,11111,0.260548382803141,0.739451617196859,-0.478903234393718
"63365","St. Charles County","MO","stcharlescounty, MO",68626,121650,0.360665559503038,0.639334440496962,-0.278668880993925
"63366","St. Charles County","MO","stcharlescounty, MO",68626,121650,0.360665559503038,0.639334440496962,-0.278668880993925
"63367","St. Charles County","MO","stcharlescounty, MO",68626,121650,0.360665559503038,0.639334440496962,-0.278668880993925
"63368","St. Charles County","MO","stcharlescounty, MO",68626,121650,0.360665559503038,0.639334440496962,-0.278668880993925
"63369","Lincoln County","MO","lincolncounty, MO",5575,18159,0.234895087216651,0.765104912783349,-0.530209825566698
"63373","St. Charles County","MO","stcharlescounty, MO",68626,121650,0.360665559503038,0.639334440496962,-0.278668880993925
"63376","St. Charles County","MO","stcharlescounty, MO",68626,121650,0.360665559503038,0.639334440496962,-0.278668880993925
"63377","Lincoln County","MO","lincolncounty, MO",5575,18159,0.234895087216651,0.765104912783349,-0.530209825566698
"63379","Lincoln County","MO","lincolncounty, MO",5575,18159,0.234895087216651,0.765104912783349,-0.530209825566698
"63379","Warren County","MO","warrencounty, MO",3915,11111,0.260548382803141,0.739451617196859,-0.478903234393718
"63380","Warren County","MO","warrencounty, MO",3915,11111,0.260548382803141,0.739451617196859,-0.478903234393718
